PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=330 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=339 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=337 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=344 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=329 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=341 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=338 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=335 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=321 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=231 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=259 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=277 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=275 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=271 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=276 ms
