PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=78.2 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=290 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=381 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=966 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1069 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1258 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1375 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=535 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=691 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=470 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=474 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=474 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=533 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=549 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=611 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=674 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=684 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=603 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=558 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=495 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=322 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=317 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=324 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=322 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=318 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=326 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=370 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=371 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=380 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=489 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=522 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=512 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=464 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=415 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=423 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=410 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=353 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=350 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=357 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=354 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=361 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=357 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=383 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=397 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=383 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=440 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=379 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=381 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=398 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=410 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=406 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=414 ms
