PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=16.3 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=348 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1007 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1101 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1209 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1308 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=561 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=453 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=452 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=463 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=463 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=467 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=463 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=535 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=518 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=797 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=583 ms
